Index,GeoFips,2001,2002,2003,2004,2005,Average
232,33660,400129.0,398549.0,398082.0,397959.0,398942.0,398732.2
233,33700,463761.0,477469.0,487357.0,492613.0,500020.0,484244.0
234,33740,169572.0,170352.0,171306.0,171969.0,172241.0,171088.0
235,33780,147605.0,148561.0,149747.0,151117.0,152374.0,149880.8
236,33860,348725.0,350984.0,352411.0,355009.0,358659.0,353157.6
237,34060,112764.0,114343.0,116466.0,118062.0,119937.0,116314.4
238,34100,103821.0,103919.0,105291.0,106314.0,107703.0,105409.6
239,34580,104534.0,105563.0,107369.0,109030.0,110683.0,107435.8
240,34620,120281.0,119949.0,119935.0,118938.0,118170.0,119454.6
241,34740,171055.0,171563.0,172269.0,172771.0,173608.0,172253.2
242,34820,277987.0,284862.0,292309.0,302421.0,317745.0,295064.8
243,34900,126818.0,128744.0,130138.0,130387.0,130381.0,129293.6
244,34940,264240.0,275490.0,285321.0,296021.0,307452.0,285704.8
245,34980,1409191.0,1427867.0,1450015.0,1478449.0,1511310.0,1455366.4
246,35100,116388.0,115664.0,115776.0,116520.0,117787.0,116427.0
247,35300,829875.0,835099.0,841939.0,844505.0,847162.0,839716.0
248,35380,1344528.0,1354638.0,1365146.0,1377699.0,1386429.0,1365688.0
249,35620,19109150.0,19195261.0,19248311.0,19253664.0,19227714.0,19206820.0
250,35660,161153.0,160604.0,160314.0,159742.0,158510.0,160064.6
251,35840,605988.0,620540.0,634862.0,653934.0,674757.0,638016.2
252,35980,261396.0,264698.0,266584.0,268595.0,269664.0,266187.4
253,36100,264553.0,271716.0,280091.0,291164.0,303558.0,282216.4
254,36140,102023.0,101694.0,101710.0,100482.0,99269.0,101035.6
255,36220,120802.0,122199.0,122739.0,124163.0,125378.0,123056.2
256,36260,495459.0,504247.0,513021.0,522374.0,532425.0,513505.2
257,36420,1108860.0,1122241.0,1134419.0,1145524.0,1161308.0,1134470.4
258,36500,212421.0,216313.0,219499.0,222985.0,227023.0,219648.2
259,36540,776165.0,783567.0,792086.0,803214.0,814309.0,793868.2
260,36740,1710359.0,1760345.0,1811544.0,1878077.0,1955794.0,1823223.8
261,36780,158163.0,159134.0,159440.0,160130.0,161451.0,159663.6
262,36980,109991.0,110190.0,110735.0,110999.0,111469.0,110676.8
263,37100,766689.0,779489.0,788070.0,793994.0,794197.0,784487.8
264,37340,486429.0,495425.0,504847.0,518722.0,529907.0,507066.0
265,37460,165075.0,167638.0,170310.0,174259.0,178698.0,171196.0
266,37620,93536.0,93424.0,92974.0,92705.0,92655.0,93058.8
267,37860,419037.0,425006.0,428066.0,435466.0,439471.0,429409.2
268,37900,365600.0,366312.0,366256.0,367962.0,369772.0,367180.4
269,37980,5713954.0,5743383.0,5773864.0,5804535.0,5829139.0,5772975.0
270,38060,3363736.0,3452470.0,3536388.0,3637332.0,3774696.0,3552924.4
271,38220,106464.0,105965.0,105465.0,104665.0,103917.0,105295.2
272,38300,2417480.0,2408348.0,2401168.0,2389107.0,2374483.0,2398117.2
273,38340,133928.0,133529.0,133423.0,133076.0,132563.0,133303.8
274,38540,76296.0,76487.0,76312.0,76834.0,77419.0,76669.6
275,38860,494975.0,500178.0,504858.0,508428.0,510287.0,503745.2
276,38900,1971152.0,2002918.0,2024115.0,2039297.0,2067325.0,2020961.4
277,38940,328315.0,338741.0,351522.0,368277.0,383877.0,354146.4
278,39140,172636.0,177362.0,182090.0,187822.0,195424.0,183066.8
279,39300,1595424.0,1608716.0,1617623.0,1620567.0,1613353.0,1611136.6
280,39340,394059.0,405672.0,414780.0,425023.0,439623.0,415831.4
281,39380,144014.0,146537.0,147907.0,148654.0,149825.0,147387.4
282,39460,146311.0,150123.0,153235.0,157755.0,155262.0,152537.2
283,39540,189047.0,189833.0,190845.0,191808.0,193251.0,190956.8
284,39580,833100.0,859117.0,883333.0,909510.0,944725.0,885957.0
285,39660,121692.0,122822.0,123278.0,125419.0,125998.0,123841.8
286,39740,377487.0,381338.0,385846.0,390848.0,395933.0,386290.4
287,39820,166408.0,170198.0,173202.0,174867.0,175615.0,172058.0
288,39900,355341.0,365706.0,375713.0,386308.0,396546.0,375922.8
289,40060,1070817.0,1084389.0,1098631.0,1115900.0,1135074.0,1100962.2
