,Unnamed: 0,Unnamed: 0.1,Index,ID Code,U.S. Regional Title,2001,2002,2003,2004,2005,Average
233,215,215,215,134740,"Muskegon-Norton Shores, MI",37.0,36.0,25.0,25.0,14.0,215
234,258,258,258,134820,"Myrtle Beach-North Myrtle Beach-Conway, SC",8.0,14.0,13.0,11.0,16.0,258
235,198,198,198,134900,"Napa, CA",29.0,17.0,29.0,28.0,20.0,198
236,157,157,157,134940,"Naples-Marco Island, FL",32.0,43.0,59.0,32.0,43.0,157
237,83,83,83,134980,"Nashville-Davidson--Murfreesboro--Franklin, TN",164.0,151.0,159.0,151.0,113.0,83
238,49,49,49,135300,"New Haven-Milford, CT",375.0,347.0,337.0,323.0,331.0,49
239,102,102,102,135380,"New Orleans-Metairie-Kenner, LA",161.0,169.0,120.0,120.0,70.0,102
240,1,1,1,135620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",5638.0,5479.0,5233.0,4717.0,3959.0,1
241,151,151,151,135660,"Niles-Benton Harbor, MI",36.0,29.0,40.0,34.0,33.0,151
242,104,104,104,135840,"North Port-Bradenton-Sarasota, FL",114.0,87.0,106.0,103.0,109.0,104
243,90,90,90,135980,"Norwich-New London, CT",175.0,186.0,184.0,141.0,154.0,90
244,225,225,225,136100,"Ocala, FL",19.0,24.0,22.0,12.0,16.0,225
245,341,341,341,136140,"Ocean City, NJ",8.0,6.0,2.0,1.0,5.0,341
246,276,276,276,136220,"Odessa, TX",5.0,8.0,12.0,10.0,6.0,276
247,101,101,101,136260,"Ogden-Clearfield, UT",117.0,113.0,102.0,126.0,101.0,101
248,87,87,87,136420,"Oklahoma City, OK",176.0,156.0,146.0,115.0,113.0,87
249,191,191,191,136500,"Olympia, WA",30.0,35.0,28.0,27.0,20.0,191
250,111,111,111,136540,"Omaha-Council Bluffs, NE-IA",88.0,88.0,93.0,88.0,70.0,111
251,60,60,60,136740,"Orlando-Kissimmee-Sanford, FL",253.0,221.0,248.0,253.0,235.0,60
252,95,95,95,136780,"Oshkosh-Neenah, WI",117.0,132.0,146.0,140.0,124.0,95
253,315,315,315,136980,"Owensboro, KY",8.0,12.0,14.0,4.0,8.0,315
254,36,36,36,137100,"Oxnard-Thousand Oaks-Ventura, CA",427.0,433.0,460.0,449.0,406.0,36
255,57,57,57,137340,"Palm Bay-Melbourne-Titusville, FL",277.0,291.0,293.0,296.0,314.0,57
256,309,309,309,137380,"Palm Coast, FL",5.0,3.0,4.0,6.0,4.0,309
257,205,205,205,137460,"Panama City-Lynn Haven-Panama City Beach, FL",31.0,34.0,28.0,25.0,31.0,205
258,208,208,208,137620,"Parkersburg-Marietta-Vienna, WV-OH",28.0,26.0,21.0,20.0,12.0,208
259,321,321,321,137700,"Pascagoula, MS",8.0,11.0,7.0,11.0,3.0,321
260,183,183,183,137860,"Pensacola-Ferry Pass-Brent, FL",31.0,27.0,42.0,28.0,44.0,183
261,73,73,73,137900,"Peoria, IL",188.0,186.0,179.0,132.0,128.0,73
262,12,12,12,137980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2225.0,2091.0,1934.0,1706.0,1478.0,12
263,17,17,17,138060,"Phoenix-Mesa-Glendale, AZ",1126.0,1206.0,1207.0,1211.0,1077.0,17
264,366,366,366,138220,"Pine Bluff, AR",3.0,3.0,1.0,1.0,2.0,366
265,24,24,24,138300,"Pittsburgh, PA",664.0,644.0,665.0,618.0,492.0,24
266,210,210,210,138340,"Pittsfield, MA",30.0,27.0,21.0,23.0,10.0,210
267,318,318,318,138540,"Pocatello, ID",5.0,5.0,11.0,9.0,7.0,318
268,369,369,369,138660,"Ponce, PR",0.0,0.0,0.0,1.0,1.0,369
269,129,129,129,138940,"Port St. Lucie, FL",60.0,41.0,46.0,57.0,54.0,129
270,105,105,105,138860,"Portland-South Portland-Biddeford, ME",94.0,102.0,99.0,80.0,111.0,105
271,14,14,14,138900,"Portland-Vancouver-Hillsboro, OR-WA",1082.0,1249.0,1522.0,1504.0,1381.0,14
272,30,30,30,139100,"Poughkeepsie-Newburgh-Middletown, NY",603.0,576.0,558.0,475.0,415.0,30
273,228,228,228,139140,"Prescott, AZ",24.0,18.0,22.0,20.0,13.0,228
274,38,38,38,139300,"Providence-New Bedford-Fall River, RI-MA",411.0,401.0,397.0,477.0,361.0,38
275,68,68,68,139340,"Provo-Orem, UT",127.0,133.0,124.0,151.0,109.0,68
276,305,305,305,139380,"Pueblo, CO",6.0,3.0,5.0,7.0,3.0,305
277,252,252,252,139460,"Punta Gorda, FL",20.0,15.0,18.0,12.0,13.0,252
278,118,118,118,139540,"Racine, WI",78.0,114.0,96.0,90.0,74.0,118
279,21,21,21,139580,"Raleigh-Cary, NC",692.0,680.0,722.0,701.0,656.0,21
280,306,306,306,139660,"Rapid City, SD",8.0,5.0,6.0,5.0,7.0,306
281,122,122,122,139740,"Reading, PA",116.0,104.0,96.0,87.0,62.0,122
282,261,261,261,139820,"Redding, CA",16.0,14.0,14.0,16.0,8.0,261
283,78,78,78,139900,"Reno-Sparks, NV",115.0,122.0,165.0,186.0,145.0,78
284,75,75,75,140060,"Richmond, VA",161.0,169.0,181.0,168.0,132.0,75
285,48,48,48,140140,"Riverside-San Bernardino-Ontario, CA",358.0,380.0,392.0,355.0,308.0,48
286,152,152,152,140220,"Roanoke, VA",54.0,46.0,40.0,40.0,48.0,152
287,52,52,52,140340,"Rochester, MN",265.0,254.0,262.0,287.0,267.0,52
288,18,18,18,140380,"Rochester, NY",1384.0,1390.0,1411.0,1305.0,1021.0,18
289,116,116,116,140420,"Rockford, IL",104.0,83.0,85.0,59.0,58.0,116
290,329,329,329,140580,"Rocky Mount, NC",3.0,2.0,3.0,5.0,2.0,329
291,331,331,331,140660,"Rome, GA",7.0,4.0,4.0,4.0,6.0,331
292,34,34,34,140900,"Sacramento--Arden-Arcade--Roseville, CA",429.0,447.0,509.0,487.0,455.0,34
293,164,164,164,140980,"Saginaw-Saginaw Township North, MI",26.0,62.0,64.0,55.0,33.0,164
